,2020,2025,2030
river,36.685589196542864,36.685589196542864,36.685589196542864
lake,15.302186369999943,15.302186369999614,15.302186369999628
phs,1.3709732133316137,0.0038329199999999996,0.7057648520965379
offshore_f,0.0,0.0,0.0
offshore_g,0.0,0.0,1.1117828816493405
onshore,25.672679102256538,32.99567158507232,65.99134317014465
onshore_V110,,,
pv_g,9.524232366375484,19.436958180891935,34.1136857993546
pv_g_ns,,,
pv_c,0.0,0.0,0.0
methanization,0.0,0.0,18.999999999999922
ocgt,1.432079837339967,0.0,0.0
ccgt,6.655054885698114,0.05402364958649306,0.02049256752940712
coal,6.891912758017977,0.0,0.0
nuclear,377.1732627930447,377.1690501070045,364.9002872727622
h2_ccgt,0.0,0.0,0.0
battery1,0.0,0.0,0.0
battery4,0.0,0.0,0.0
electrolysis,0.0,4.800000000001015,19.999999999999996
hydrogen,0.0,0.0,0.07220083322695085
methane,0.0,0.0,12.33394988081068
methanation,0.0,0.0,4.835505751790976
pyrogazification,0.0,0.0,0.0
natural_gas,154.45963106616688,133.0008600077413,94.30256695070746
geothermal,0.0011692784079388302,0.0009673893353546899,1.779999999999984
central_gas_boiler,12.892043155393534,15.974480440344687,7.099658837336072
central_wood_boiler,0.021378602031260744,0.010257732081395804,10.100000000000172
uiom,0.0,0.0,0.0
CTES,0.0,0.0,0.0
